nm,X2016.10.31,X2016.9.30,X2016.8.31,X2016.7.29,X2016.6.30,X2016.5.31,X2016.4.29,X2016.3.31,X2016.2.26,X2016.1.30,X2015.12.31,X2015.11.30,X2015.10.30,X2015.9.30,X2015.8.31,X2015.7.31,X2015.6.30,X2015.5.29,X2015.4.30,X2015.3.31,X2015.2.26,X2015.1.30,X2014.12.31,X2014.11.28,X2014.10.31,X2014.9.30,X2014.8.29,X2014.7.31,X2014.6.30,X2014.5.30,X2014.4.30,X2014.3.31,X2014.2.27,X2014.1.27,X2013.12.31,X2013.11.29,X2013.10.31,X2013.9.30,X2013.8.30,X2013.7.31,X2013.6.28,X2013.5.31,X2013.4.30,X2013.3.29,X2013.2.27,X2013.1.31,X2012.12.28,X2012.11.30,X2012.10.31,X2012.9.28,X2012.8.31,X2012.7.31,X2012.6.29,X2012.5.31,X2012.4.30,X2012.3.30,X2012.2.29,X2012.1.31,X2011.12.30,X2011.11.30,X2011.10.31,X2011.9.30,X2011.8.31,X2011.7.29,X2011.6.30,X2011.5.31,X2011.4.29,X2011.3.31,X2011.2.25,X2011.1.28,X2010.12.31,X2010.11.30,X2010.10.29,X2010.9.30,X2010.8.31,X2010.7.30,X2010.6.30,X2010.5.31,X2010.4.30,X2010.3.31,X2010.2.26,X2010.1.29,X2009.12.31,X2009.11.30,X2009.10.30,X2009.9.30,X2009.8.31,X2009.7.31,X2009.6.30,X2009.5.27,X2009.4.30,X2009.3.31,X2009.2.27,X2009.1.21,X2008.12.31,X2008.11.28,X2008.10.31,X2008.9.30,X2008.8.29,X2008.7.31,X2008.6.30,X2008.5.30,X2008.4.30,X2008.3.31,X2008.2.29,X2008.1.31,X2007.12.31,X2007.11.30,X2007.10.31,X2007.9.29,X2007.8.31,X2007.7.31,X2007.6.29,X2007.5.31,X2007.4.30,X2007.3.30,X2007.2.27,X2007.1.31,X2006.12.29,X2006.11.30,X2006.10.31,X2006.9.29,X2006.8.31,X2006.7.31,X2006.6.30,X2006.5.30,X2006.4.28,X2006.3.31,X2006.2.27,X2006.1.25,X2005.12.30,X2005.11.30,X2005.10.31,X2005.9.30,X2005.8.31,X2005.7.29,X2005.6.30,X2005.5.31,X2005.4.29,X2005.3.31,X2005.2.25,X2005.1.31,X2004.12.31,X2004.11.30,X2004.10.29,X2004.9.30,X2004.8.31,X2004.7.30,X2004.6.30,X2004.5.31,X2004.4.30,X2004.3.31,X2004.2.27,X2004.1.30,X2003.12.31,X2003.11.28,X2003.10.31,X2003.9.30,X2003.8.29,X2003.7.31,X2003.6.30,X2003.5.30,X2003.4.30,X2003.3.31,X2003.2.27,X2003.1.28,X2002.12.31,X2002.11.29,X2002.10.31,X2002.9.30,X2002.8.30,X2002.7.31,X2002.6.28,X2002.5.31,X2002.4.30,X2002.3.29,X2002.2.27,X2002.1.31,X2001.12.31,X2001.11.30,X2001.10.31,X2001.9.28,X2001.8.31,X2001.7.31,X2001.6.29,X2001.5.31,X2001.4.30,X2001.3.30,X2001.2.27,X2001.1.31,X2000.12.30,X2000.11.30,X2000.10.31,X2000.9.30,X2000.8.31,X2000.7.31,X2000.6.30,X2000.5.31,X2000.4.29,X2000.3.31,X2000.2.29,X2000.1.31
501,-5.0796,-2.2557,-2.5842,0.5069,-1.6065,-3.1999,-6.4009,-1.7543,0.7712,-6.0964,-2.876,-6.7497,1.9553,1.5266,-11.0002,-13.3335,-9.0908,-7.8946,-3.0261,-2.3189,-1.5785,-2.3148,2.3809,-2.6665,-9.0252,-5.729,-4.5105,-3.708,-0.9397,0.2938,-6.7194,-1.8893,1.282,-2.8332,1.0582,-4.2016,-1.1717,0.1763,-3.1249,-0.1164,-6.25,0.8498,-2.957,-0.9119,-0.8902,-0.484,1.1441,1.2446,-13.245,0.4103,1.3074,-2.7958,-1.6668,-4.3332,-9.4203,-6.6115,9.4196,4.0001,-0.926,-15.2285,0.6577,-9.0426,-14.3378,-3.7565,-5.6276,-3.1315,-0.5319,-3.2822,-6.3064,-1.9232,2.2114,-4.3771,-4.1238,4.3773,-5.7699,5.414,-1.635,-11.402,-1.4084,8.3917,-3.3742,-10.6317,8.2168,1.7421,-2.7303,7.7466,-6.1974,10.9422,-9.9477,7.6925,9.0593,14.8411,4.2683,-5.8548,-0.3831,-12.7982,-12.6516,-26.7301,-1.2343,-5,-19.1031,-6.4022,2.3938,1.4925,12.1354,-15.4827,-4.762,-13.9718,-7.6007,1.7856,-11.3399,7.6104,7.8079,0.3226,-0.9804,1.7614,1.5789,-3.6408,5.0235,6.7989,3.1036,1.7241,-0.4607,-2.3325,-6.0241,-2.0045,7.1169,0.3716,-2.0511,-3.5643,6.5853,3.6185,-6.2501,-0.8238,-6.4645,0.244,5.4814,-0.885,-6.6666,-2.5317,3.5019,-3.6841,4.9261,-0.9007,-3.1578,0,3.9282,-4.8078,-6.1728,-3.3785,-6.5116,-5.6556,7.2875,9.124,3.5089,0.9259,5.0958,-1.081,-0.9433,8.3702,9.009,10.8642,-5.6293,-3.2521,-6.9663,12.6866,2e-04,4.0229,9.0665,-8.0358,-1e-04,3.0614,-3.8742,-4.5001,7.3683,18.3432,-0.4949,18.1305,34.9282,23.6841,2.2222,-8.2706,15.8336,-5,3.0187,-5.2239,-2.0512,21.5,20.8122,52.7949,9.346,2.4271,-0.5234,0,9.8638,11.4942,4.292,10.2692,10.8012,33.3332,39.3643,84.5453
502,-5.0379,-2.2297,-2.5399,0.5122,-1.6049,-3.1939,-6.3889,-1.7422,0.7875,-6.0802,-2.8509,-6.7129,1.9702,1.5293,-10.9311,-13.3334,-9.0756,-7.8911,-3.0137,-2.3097,-1.5674,-2.3077,2.3892,-2.6549,-9.0244,-5.7278,-4.51,-3.6833,-0.939,0.2942,-6.7061,-1.8792,1.2901,-2.827,1.0638,-4.1947,-1.1627,0.1823,-3.077,-0.1046,-6.2232,0.8548,-2.954,-0.9009,-0.8861,-0.4832,1.1472,1.2468,-13.2166,0.4218,1.3136,-2.7617,-1.6667,-4.3209,-9.4016,-6.6092,9.4636,4.0001,-0.909,-15.1833,0.6711,-9.0323,-14.3258,-3.7269,-5.6251,-3.1251,-0.5264,-3.2693,-6.2936,-1.9193,2.2223,-4.3766,-4.1016,4.384,-5.7694,5.4186,-1.6217,-11.3634,-1.3886,8.4111,-3.3708,-10.6194,8.2212,1.7491,-2.7236,7.7612,-6.1502,10.9678,-9.9407,7.7237,9.0648,14.8762,4.2902,-5.8385,-0.3471,-12.7725,-12.6438,-26.7281,-1.2196,-4.9744,-19.0791,-6.3831,2.3982,1.4979,12.1387,-15.4439,-4.7618,-13.9264,-7.5676,1.8257,-11.3043,7.6193,7.8247,0.3401,-0.9743,1.7856,1.5792,-3.6144,5.0264,6.8149,3.125,1.7289,-0.4484,-2.3232,-5.9805,-2,7.1322,0.3759,-2.0449,-3.4811,6.6197,3.6556,-6.2499,-0.8109,-6.4378,0.2702,5.4914,-0.8824,-6.6054,-2.5253,3.5086,-3.6765,4.9384,-0.8695,-3.1578,1e-04,4,-4.7903,-6.154,-3.3708,-6.4896,-5.6452,7.308,9.1525,3.5176,0.9614,5.1136,-1.0636,-0.9112,8.3721,9.0359,10.8949,-5.5216,-3.1999,-6.9307,12.6984,0.3495,4.0817,9.0907,-8.0127,-1e-04,3.1006,-3.8461,-4.461,7.4379,18.4781,-0.4367,18.2456,34.9805,24.1135,2.2856,-8.2416,15.8799,-5,3.125,-5.1725,-2.0407,21.5861,20.8424,53.0861,9.3752,2.4388,-0.4673,1e-04,10.0001,11.7495,4.4119,10.4064,10.8198,33.7014,40.3102,84.7458
503,-5.0379,-2.2257,-2.5284,0.5154,-1.6,-3.1862,-6.3768,-1.7371,0.7939,-6.0695,-2.8482,-6.6668,1.9749,1.5328,-10.9272,-13.3078,-9.0624,-7.8704,-2.9888,-2.304,-1.5625,-2.3076,2.394,-2.6548,-9.0195,-5.7252,-4.5092,-3.6759,-0.9373,0.3082,-6.6929,-1.8789,1.2972,-2.8238,1.0791,-4.1859,-1.1594,0.1825,-3.0595,-0.1027,-6.2221,0.8589,-2.9357,-0.896,-0.886,-0.483,1.1653,1.2685,-13.2075,0.4256,1.3157,-2.7559,-1.6596,-4.3102,-9.3751,-6.589,9.4749,4.01,-0.9036,-15.1785,0.6722,-9.0227,-14.2324,-3.718,-5.6122,-3.125,-0.5261,-3.2653,-6.2761,-1.913,2.2321,-4.3709,-4.0691,4.384,-5.7363,5.4213,-1.6061,-11.2701,-1.3812,8.4337,-3.3708,-10.5991,8.2222,1.7498,-2.7132,7.8079,-6.1362,10.989,-9.9236,7.745,9.0714,14.9328,4.297,-5.8252,-0.3435,-12.7491,-12.5562,-26.7244,-1.2137,-4.9681,-19.079,-6.3829,2.4055,1.5113,12.177,-15.432,-4.7424,-13.9099,-7.513,1.833,-11.2783,7.6494,7.8431,0.3481,-0.9734,1.8182,1.5936,-3.5715,5.0347,6.8221,3.1581,1.7359,-0.4455,-2.3095,-5.9512,-1.9609,7.1428,0.3877,-2.0409,-3.4781,6.6371,3.7036,-6.2295,-0.8098,-6.4348,0.2862,5.5045,-0.878,-6.604,-2.4742,3.5545,-3.67,4.9384,-0.8547,-3.1467,1e-04,4,-4.7861,-6.1453,-3.3631,-6.4678,-5.5945,7.317,9.1743,3.54,0.9901,5.1472,-1.0527,-0.8619,8.4108,9.0427,10.9272,-5.5196,-3.1645,-6.9079,12.9186,0.3636,4.1095,9.0909,-7.9999,0,3.1131,-3.8461,-4.452,7.438,18.6603,-0.4082,18.3137,35.0944,24.183,2.2902,-8.2253,15.9893,-4.9999,3.2259,-5.1284,-1.7855,21.7877,20.9876,53.1916,9.5958,2.5771,-2e-04,0.0194,10.3212,11.7926,4.8781,10.5692,11.2675,33.7539,42.4531,86.916
504,-5.0361,-2.2178,-2.5108,0.5161,-1.5998,-3.1817,-6.3759,-1.7369,0.7967,-6.0651,-2.8457,-6.652,1.9751,1.5336,-10.9235,-13.3033,-9.0534,-7.8587,-2.9675,-2.3027,-1.5505,-2.3066,2.3946,-2.6504,-9.0172,-5.7239,-4.5035,-3.6433,-0.9304,0.3095,-6.677,-1.8717,1.3158,-2.8097,1.1021,-4.1623,-1.1589,0.1931,-3.0446,-2e-04,-6.2202,0.8659,-2.9224,-0.862,-0.885,-0.4808,1.1673,1.2737,-13.2023,0.4505,1.3456,-2.746,-1.6394,-4.3074,-9.3673,-6.5768,9.5,4.0161,-0.8957,-15.1717,0.6849,-9.0033,-14.2105,-3.7147,-5.575,-3.1072,-0.4716,-3.2607,-6.2501,-1.9049,2.2446,-4.3626,-4.0637,4.3904,-5.693,5.4323,-1.6032,-11.2623,-1.3774,8.4427,-3.3581,-10.594,8.2281,1.7512,-2.7028,7.8133,-6.1223,11.0133,-9.9206,7.8651,9.1838,14.9758,4.3241,-5.8241,-0.3339,-12.734,-12.5475,-26.7061,-1.1864,-4.9583,-19.0615,-6.3473,2.4096,1.5151,12.1953,-15.4184,-4.7245,-13.9014,-7.5,1.8404,-11.2781,7.6922,7.8482,0.3496,-0.9709,1.8293,1.596,-3.5397,5.042,6.8862,3.1647,1.7483,-0.4168,-2.299,-5.8737,-1.9353,7.143,0.4016,-2.0408,-3.475,6.6443,3.7144,-6.2145,-0.7634,-6.4286,0.3058,5.5046,-0.8706,-6.5814,-2.4614,3.5554,-3.653,4.9504,-0.8351,-3.1043,1e-04,4.0334,-4.7619,-6.1348,-3.3333,-6.4517,-5.5117,7.3447,9.2198,3.5433,1.0258,5.1723,-1.0418,-0.8546,8.4966,9.0536,10.9374,-5.5047,-3.1578,-6.8626,13.0176,0.3831,4.1151,9.317,-7.9755,0,3.125,-3.8301,-4.4322,7.4927,18.7501,-0.3937,18.3289,35.0991,24.5457,2.299,-8.2109,16.0645,-4.9549,3.2897,-5.0849,-1.7546,21.8606,21.1821,53.2607,9.6775,2.6088,-1e-04,0.2036,10.3241,11.8034,4.889,10.6797,11.3333,34.5552,42.6229,88.2497
505,-5.0001,-2.2141,-2.5066,0.568,-1.5823,-3.1813,-6.3759,-1.7359,0.7999,-6.0491,-2.8324,-6.6328,1.984,1.5385,-10.9145,-13.2846,-9.0163,-7.8583,-2.9583,-2.2958,-1.5369,-2.3037,2.403,-2.6456,-9.0032,-5.7142,-4.4687,-3.6171,-0.9187,0.3126,-6.6669,-1.8655,1.3216,-2.8069,1.1111,-4.1534,-1.1583,0.2027,-3.0366,-2e-04,-6.2167,0.879,-2.9197,-0.8439,-0.8773,-0.4608,1.1719,1.2821,-13.1966,0.4567,1.3626,-2.7412,-1.6303,-4.2966,-9.3333,-6.5502,9.5065,4.0373,-0.8373,-15.1126,0.6875,-9,-14.2062,-3.7116,-5.5556,-3.0716,-0.4587,-3.2561,-6.2284,-1.8577,2.2471,-4.3407,-4.0539,4.3955,-5.681,5.4485,-1.5708,-11.1539,-1.3699,8.4435,-3.3506,-10.5923,8.231,1.7628,-2.6906,7.8205,-6.1143,11.0479,-9.8839,7.8839,9.2105,15.0077,4.3545,-5.783,-0.3235,-12.7071,-12.53,-26.6968,-1.1859,-4.9329,-19.0299,-6.3403,2.4194,1.5152,12.2066,-15.4118,-4.7168,-13.889,-7.4999,1.8422,-11.2654,7.7051,7.8762,0.3546,-0.9585,1.8389,1.6109,-3.5318,5.0723,6.9024,3.1706,1.7741,-0.415,-2.29,-5.8121,-1.9157,7.1634,0.4081,-2.0019,-3.4749,6.6554,3.7415,-6.1964,-0.7166,-6.4038,0.3474,5.5172,-0.8623,-6.5656,-2.4422,3.5572,-3.636,4.9586,-0.8129,-3.1008,2e-04,4.0572,-4.7507,-6.1321,-3.3221,-6.4516,-5.4793,7.3528,9.2826,3.5713,1.031,5.2134,-1.0034,-0.8438,8.4967,9.0568,10.9635,-5.5046,-3.1251,-6.8242,13.0683,0.4015,4.2253,9.3748,-7.8789,0,3.1253,-3.8168,-4.348,7.5271,18.8036,-0.3892,18.367,35.1353,24.6668,2.3364,-8.1966,16.0802,-4.9407,3.4226,-5.0562,-1.7545,21.8752,21.1864,54.0002,9.7826,2.7524,0,0.2708,10.422,11.8643,4.8929,10.7232,11.4506,35.3589,43.1669,90.3705
506,-4.992,-2.2044,-2.4894,0.57,-1.5506,-3.161,-6.3687,-1.6949,0.8052,-6.0465,-2.8169,-6.6246,1.9866,1.5467,-10.8888,-13.283,-9.0122,-7.8539,-2.9334,-2.2922,-1.5326,-2.2725,2.4213,-2.6448,-8.9937,-5.7094,-4.4521,-3.6051,-0.885,0.3135,-6.6666,-1.8516,1.3227,-2.7959,1.1141,-4.1436,-1.1525,0.2097,-3.0358,-1e-04,-6.2111,0.8896,-2.9071,-0.8358,-0.8733,-0.4445,1.2061,1.2983,-13.1945,0.4668,1.3782,-2.7351,-1.6245,-4.2597,-9.2838,-6.5433,9.5287,4.0513,-0.836,-15.1018,0.706,-8.9842,-14.1667,-3.6993,-5.5257,-3.0612,-0.4504,-3.2294,-6.2242,-1.8254,2.2502,-4.3362,-3.9999,4.3957,-5.6603,5.4903,-1.5625,-11.1517,-1.3561,8.4465,-3.3299,-10.5881,8.2691,1.8101,-2.6846,7.8351,-6.1127,11.0843,-9.8836,7.9069,9.222,15.0178,4.3769,-5.7752,-0.3134,-12.6897,-12.4794,-26.678,-1.1734,-4.9123,-19.0231,-6.3309,2.4304,1.523,12.2093,-15.3847,-4.6978,-13.8712,-7.4753,1.8449,-11.2542,7.725,7.8944,0.3598,-0.9412,1.8691,1.6129,-3.5294,5.1181,6.909,3.1818,1.7751,-0.4142,-2.2729,-5.8021,-1.8987,7.1722,0.4082,-2.0001,-3.4485,6.6668,3.742,-6.1727,-0.7106,-6.3548,0.3832,5.5201,-0.8548,-6.5636,-2.439,3.6211,-3.5857,4.9679,-0.7633,-3.096,2e-04,4.0663,-4.7395,-6.1303,-3.271,-6.4286,-5.4262,7.3802,9.2856,3.5714,1.0345,5.2237,-0.9805,-0.8404,8.5914,9.1187,11.0001,-5.4796,-3.125,-6.8181,13.0842,0.4042,4.2372,9.3877,-7.8571,0,3.1784,-3.7975,-4.3478,7.5471,18.8312,-0.2915,18.7051,35.1559,24.7253,2.3437,-8.1301,16.216,-4.9297,3.4653,-5,-1.7046,22.1997,21.2123,54.1666,9.804,2.7584,0,0.4726,10.5263,11.9046,4.918,10.8694,11.6001,37.9999,43.4263,92.4052
507,-4.9822,-2.202,-2.4843,0.5846,-1.5505,-3.1578,-6.3664,-1.6898,0.8052,-5.9679,-2.809,-6.6079,1.9901,1.5505,-10.8779,-13.2792,-9.0117,-7.8407,-2.9099,-2.2727,-1.5173,-2.2624,2.4244,-2.6417,-8.976,-5.6983,-4.447,-3.5832,-0.872,0.3153,-6.6501,-1.8463,1.3245,-2.795,1.1222,-4.1346,-1.1429,0.2102,-3.0302,-1e-04,-6.2068,0.8902,-2.879,-0.8334,-0.8646,-0.4386,1.2065,1.3159,-13.1945,0.4927,1.3953,-2.733,-1.6172,-4.2556,-9.2724,-6.536,9.5587,4.0542,-0.8241,-15.0838,0.7153,-8.9702,-14.1567,-3.6988,-5.5135,-3.0486,-0.4348,-3.2071,-6.2201,-1.8181,2.2624,-4.3073,-3.9999,4.4042,-5.6479,5.5044,-1.5504,-11.0688,-1.3406,8.4548,-3.2967,-10.5619,8.2871,1.8182,-2.6756,7.8686,-6.1095,11.1114,-9.8405,7.942,9.2492,15.035,4.4014,-5.7692,-0.3113,-12.6705,-12.4732,-26.6666,-1.1449,-4.9047,-18.977,-6.3218,2.4434,1.5268,12.2249,-15.3203,-4.6612,-13.8615,-7.4735,1.8518,-11.2451,7.7507,7.8948,0.3762,-0.9176,1.8957,1.6188,-3.4965,5.1344,6.9124,3.2144,1.7896,-0.3985,-2.2728,-5.7927,-1.8612,7.1879,0.4285,-1.9999,-3.4483,6.667,3.7498,-6.1674,-0.6666,-6.2683,0.3855,5.5435,-0.8349,-6.5109,-2.4324,3.6584,-3.5715,4.9724,-0.7325,-3.0862,2e-04,4.1201,-4.7009,-6.1219,-3.2559,-6.3612,-5.4113,7.3826,9.3022,3.6146,1.0416,5.263,-0.9434,-0.8332,8.6208,9.1589,11.0118,-5.4755,-3.1249,-6.8101,13.1313,0.4313,4.3046,9.4338,-7.8431,0,3.1916,-3.7733,-4.2945,7.5861,18.919,-0.2817,19.084,35.4497,24.7523,2.3923,-8.077,16.2402,-4.9178,3.4751,-5,-1.6438,22.3403,21.2389,54.5454,9.8858,2.7778,0,0.7194,10.5771,12.2873,4.9644,10.8808,11.6593,39.0727,43.7169,93.9394
508,-4.9781,-2.1908,-2.4833,0.5917,-1.5464,-3.1533,-6.3494,-1.6779,0.8163,-5.9603,-2.7981,-6.5934,2,1.5533,-10.8455,-13.2782,-8.9912,-7.8327,-2.9032,-2.2727,-1.5119,-2.213,2.4389,-2.6317,-8.9715,-5.6839,-4.4288,-3.5715,-0.8685,0.3175,-6.6493,-1.845,1.3273,-2.7777,1.1259,-4.1279,-1.1378,0.2106,-3.0231,0,-6.2043,0.8968,-2.8778,-0.8097,-0.862,-0.4366,1.2295,1.3452,-13.1363,0.495,1.4284,-2.7276,-1.6165,-4.2222,-9.2513,-6.5343,9.5617,4.0651,-0.7953,-15.0817,0.7208,-8.9686,-14.1508,-3.6884,-5.4794,-3.0434,-0.4274,-3.2061,-6.2047,-1.8001,2.2626,-4.301,-3.9998,4.4058,-5.6271,5.5084,-1.5465,-11.0639,-1.3102,8.4615,-3.291,-10.5455,8.295,1.8334,-2.6579,7.8884,-6.0748,11.2675,-9.8285,7.9645,9.3332,15.0443,4.4147,-5.7541,-0.3105,-12.6107,-12.4293,-26.6666,-1.0258,-4.892,-18.9725,-6.3156,2.448,1.5325,12.2302,-15.317,-4.6579,-13.8365,-7.4322,1.8605,-11.2096,7.9311,7.9525,0.3817,-0.9036,1.9048,1.6234,-3.4811,5.1402,6.9174,3.2378,1.8238,-0.3908,-2.2727,-5.7926,-1.8422,7.2256,0.4463,-1.9901,-3.4433,6.7194,3.7499,-6.1594,-0.66,-6.2237,0.3883,5.5555,-0.8265,-6.4706,-2.3257,3.6586,-3.5715,4.9999,-0.7142,-3.0676,2e-04,4.1322,-4.698,-6.1133,-3.2258,-6.3583,-5.364,7.3827,9.3024,3.6362,1.0416,5.2631,-0.9345,-0.7937,8.7649,9.1649,11.0447,-5.4646,-3.1128,-6.7873,13.1359,0.4855,4.4023,9.5654,-7.8197,0,3.2086,-3.6583,-4.2553,7.5895,19.2156,-1e-04,19.1568,35.4836,24.7999,2.4389,-8.0569,16.2856,-4.878,3.5477,-5,-1.5501,22.3531,21.3017,54.639,10.1266,3.0304,0,0.7518,10.8279,12.6761,5.2289,11.2677,12.4559,40.1129,43.7826,95.4129
509,-4.9521,-2.1874,-2.4753,0.5953,-1.5386,-3.1456,-6.3348,-1.6742,0.8548,-5.9492,-2.7971,-6.585,2.007,1.5565,-10.8226,-13.2354,-8.9865,-7.8302,-2.8947,-2.2726,-1.505,-2.2067,2.439,-2.6316,-8.9601,-5.6381,-4.4031,-3.5669,-0.8605,0.3233,-6.6478,-1.8276,1.3315,-2.7681,1.1468,-4.1097,-1.1236,0.2179,-3.0115,0,-6.197,0.9009,-2.8572,-0.8048,-0.8563,-0.4348,1.2346,1.3668,-13.1233,0.4963,1.43,-2.7117,-1.6077,-4.1975,-9.2503,-6.4936,9.5694,4.0678,-0.7874,-15.0494,0.7328,-8.9643,-14.1406,-3.6833,-5.4546,-3.0305,-0.4033,-3.1674,-6.1857,-1.7918,2.2728,-4.2928,-3.9758,4.4218,-5.609,5.5431,-1.5448,-11.0452,-1.3037,8.4647,-3.2894,-10.4915,8.3031,1.8351,-2.643,7.904,-6.0674,11.2703,-9.7838,7.988,9.3439,15.063,4.4211,-5.754,-0.3023,-12.5874,-12.3937,-26.6563,-0.9899,-4.8804,-18.9621,-6.2924,2.4489,1.5337,12.2805,-15.2684,-4.6513,-13.8297,-7.4219,1.8691,-11.1677,7.9347,7.9618,0.3832,-0.8889,1.9445,1.6287,-3.4784,5.1603,6.9319,3.2424,1.8381,-0.3816,-2.258,-5.7751,-1.8051,7.2272,0.4466,-1.9852,-3.4364,6.7286,3.7622,-6.1486,-0.6409,-6.1906,0.392,5.5556,-0.8097,-6.4654,-2.2901,3.6649,-3.5485,5,-0.697,-3.0612,3e-04,4.138,-4.6869,-6.1033,-3.2257,-6.3293,-5.2633,7.4272,9.3169,3.6438,1.0417,5.2631,-0.926,-0.775,8.788,9.1745,11.05,-5.4621,-3.0568,-6.7461,13.1944,0.4905,4.4304,9.6295,-7.8017,0,3.3492,-3.6529,-4.2168,7.6639,19.2771,-1e-04,19.2173,35.6168,24.9101,2.4591,-8.0419,16.2962,-4.7622,3.5714,-4.9645,-1.5386,22.4808,21.3593,54.7703,10.3173,3.2785,1e-04,0.8549,10.8758,12.7777,5.6338,11.2677,13.1816,40.827,43.8884,103.6362
510,-4.9305,-2.1765,-2.4678,0.5976,-1.5384,-3.1434,-6.3252,-1.6715,0.8568,-5.9485,-2.7908,-6.5728,2.0136,1.5624,-10.8109,-13.2175,-8.9743,-7.8296,-2.8932,-2.2679,-1.4956,-2.2039,2.4445,-2.6315,-8.9506,-5.6224,-4.3478,-3.5416,-0.8572,0.3237,-6.6406,-1.805,1.3334,-2.7563,1.1584,-4.091,-1.0791,0.2224,-3.01,0,-6.1857,0.9092,-2.8571,-0.8042,-0.8383,-0.4273,1.2449,1.3679,-13.1191,0.4975,1.431,-2.7032,-1.5891,-4.184,-9.245,-6.4815,9.5917,4.0756,-0.7844,-15.0391,0.762,-8.9475,-14.1177,-3.6319,-5.4393,-3.0304,-0.3968,-3.161,-6.1483,-1.7912,2.2808,-4.2791,-3.9756,4.4248,-5.5999,5.5832,-1.5283,-10.9892,-1.3031,8.4656,-3.2882,-10.4723,8.3334,1.8471,-2.6085,7.9086,-6.0621,11.2758,-9.7505,7.9932,9.4581,15.0977,4.4444,-5.7453,-0.2778,-12.5442,-12.3268,-26.6376,-0.9867,-4.8554,-18.9301,-6.2201,2.4693,1.5464,12.3287,-15.1952,-4.6512,-13.8211,-7.4074,1.8724,-11.1632,7.9366,7.9644,0.3846,-0.8619,1.9512,1.6332,-3.425,5.1612,6.9768,3.2573,1.8613,-0.3755,-2.2152,-5.7633,-1.7821,7.2319,0.4717,-1.9635,-3.4346,6.7417,3.7977,-6.137,-0.6196,-6.1662,0.3983,5.5557,-0.7576,-6.4615,-2.283,3.6697,-3.5463,5,-0.6875,-3.0489,3e-04,4.138,-4.6427,-6.1015,-3.1916,-6.3159,-5.238,7.447,9.3618,3.6765,1.0418,5.2634,-0.9031,-0.6825,8.8049,9.1788,11.111,-5.4236,-3.0434,-6.7459,13.253,0.5027,4.5237,9.7015,-7.7719,0,3.3555,-3.6291,-4.1916,7.6924,19.3071,-1e-04,19.3068,35.7146,25,2.4999,-8.0139,16.3461,-4.7171,3.6495,-4.9644,-1.5039,22.5435,21.4575,55.102,10.4234,3.521,0.2123,1.0363,10.9157,13.0001,5.8254,11.3726,13.1944,43.2097,44.8717,104.8955
511,-4.9233,-2.1647,-2.4561,0.6043,-1.5266,-3.1218,-6.3186,-1.6666,0.8579,-5.9382,-2.7779,-6.5525,2.0454,1.5697,-10.7999,-13.1878,-8.9597,-7.8229,-2.8791,-2.2368,-1.4865,-2.2012,2.4632,-2.6237,-8.9495,-5.6043,-4.3477,-3.5223,-0.8369,0.3279,-6.6245,-1.7986,1.3629,-2.7548,1.1627,-4.0584,-1.0455,0.2477,-3.0075,0,-6.1259,0.9149,-2.857,-0.7936,-0.8362,-0.4203,1.2463,1.3702,-13.1165,0.5111,1.447,-2.6848,-1.5875,-4.1743,-9.2174,-6.4814,9.5959,4.0816,-0.7832,-14.9389,0.7632,-8.9232,-14.1104,-3.6054,-5.3965,-3.0173,-0.379,-3.1547,-6.1224,-1.7892,2.2851,-4.2735,-3.9505,4.425,-5.5776,5.6001,-1.4899,-10.9858,-1.2875,8.4743,-3.2785,-10.4326,8.3636,1.8752,-2.6035,7.9137,-6.0607,11.2792,-9.7058,8,9.5238,15.1291,4.5082,-5.7143,-0.2653,-12.517,-12.306,-26.6189,-0.9676,-4.75,-18.9284,-6.1577,2.4734,1.5622,12.3361,-15.1784,-4.6314,-13.7932,-7.4072,1.8808,-11.1538,7.9454,8,0.3993,-0.8427,1.9704,1.6394,-3.4246,5.166,6.9772,3.2655,1.8693,-0.357,-2.2071,-5.7281,-1.7546,7.327,0.4808,-1.9609,-3.4247,6.8494,3.8094,-6.1251,-0.6174,-6.1606,0.4034,5.5718,-0.7352,-6.4516,-2.2557,3.6698,-3.5354,5,-0.6535,-3.0418,4e-04,4.1421,-4.6271,-6.0871,-3.1915,-6.2501,-5.2036,7.5085,9.3921,3.7034,1.0528,5.2742,-0.8696,-0.61,8.8082,9.1893,11.1111,-5.4054,-2.9924,-6.7307,13.2743,0.505,4.7619,9.7089,-7.7349,0,3.4089,-3.6231,-4.1859,7.7378,19.5122,-1e-04,19.3549,35.7402,25.2941,2.564,-7.9546,16.4478,-4.7168,3.6699,-4.8729,-1.4888,22.7779,21.8749,55.4624,10.4394,3.8299,0.291,1.2579,11.2705,13.0121,6.1945,11.5646,13.2422,43.9023,45.3126,113.7934
