年月,2016/10/31,2016/9/30,2016/8/31,2016/7/29,2016/6/30,2016/5/31,2016/4/29,2016/3/31,2016/2/26,2016/1/30,2015/12/31,2015/11/30,2015/10/30,2015/9/30,2015/8/31,2015/7/31,2015/6/30,2015/5/29,2015/4/30,2015/3/31,2015/2/26,2015/1/30,2014/12/31,2014/11/28,2014/10/31,2014/9/30,2014/8/29,2014/7/31,2014/6/30,2014/5/30,2014/4/30,2014/3/31,2014/2/27,2014/1/27,2013/12/31,2013/11/29,2013/10/31,2013/9/30,2013/8/30,2013/7/31,2013/6/28,2013/5/31,2013/4/30,2013/3/29,2013/2/27,2013/1/31,2012/12/28,2012/11/30,2012/10/31,2012/9/28,2012/8/31,2012/7/31,2012/6/29,2012/5/31,2012/4/30,2012/3/30,2012/2/29,2012/1/31,2011/12/30,2011/11/30,2011/10/31,2011/9/30,2011/8/31,2011/7/29,2011/6/30,2011/5/31,2011/4/29,2011/3/31,2011/2/25,2011/1/28,2010/12/31,2010/11/30,2010/10/29,2010/9/30,2010/8/31,2010/7/30,2010/6/30,2010/5/31,2010/4/30,2010/3/31,2010/2/26,2010/1/29,2009/12/31,2009/11/30,2009/10/30,2009/9/30,2009/8/31,2009/7/31,2009/6/30,2009/5/27,2009/4/30,2009/3/31,2009/2/27,2009/1/21,2008/12/31,2008/11/28,2008/10/31,2008/9/30,2008/8/29,2008/7/31,2008/6/30,2008/5/30,2008/4/30,2008/3/31,2008/2/29,2008/1/31,2007/12/31,2007/11/30,2007/10/31,2007/9/29,2007/8/31,2007/7/31,2007/6/29,2007/5/31,2007/4/30,2007/3/30,2007/2/27,2007/1/31,2006/12/29,2006/11/30,2006/10/31,2006/9/29,2006/8/31,2006/7/31,2006/6/30,2006/5/30,2006/4/28,2006/3/31,2006/2/27,2006/1/25,2005/12/30,2005/11/30,2005/10/31,2005/9/30,2005/8/31,2005/7/29,2005/6/30,2005/5/31,2005/4/29,2005/3/31,2005/2/25,2005/1/31,2004/12/31,2004/11/30,2004/10/29,2004/9/30,2004/8/31,2004/7/30,2004/6/30,2004/5/31,2004/4/30,2004/3/31,2004/2/27,2004/1/30,2003/12/31,2003/11/28,2003/10/31,2003/9/30,2003/8/29,2003/7/31,2003/6/30,2003/5/30,2003/4/30,2003/3/31,2003/2/27,2003/1/28,2002/12/31,2002/11/29,2002/10/31,2002/9/30,2002/8/30,2002/7/31,2002/6/28,2002/5/31,2002/4/30,2002/3/29,2002/2/27,2002/1/31,2001/12/31,2001/11/30,2001/10/31,2001/9/28,2001/8/31,2001/7/31,2001/6/29,2001/5/31,2001/4/30,2001/3/30,2001/2/27,2001/1/31,2000/12/30,2000/11/30,2000/10/31,2000/9/30,2000/8/31,2000/7/31,2000/6/30,2000/5/31,2000/4/29,2000/3/31,2000/2/29,2000/1/31
2360 致茂,-4.9822,2.805,4.7131,4.8177,-1.7902,9.2179,3.4683,-1.8439,7.9634,2.1908,10.7454,-0.5171,3.0195,4.6468,-15.9376,-2.1998,-1.3025,-6.6214,-4.7619,-3.7176,2.2814,-3.8976,-1.7942,10.4362,-10.4142,-3.9774,9.9999,-1.4063,11.6155,-3.6037,7.025,-0.0001,11.6923,4,4.1666,-4.1534,-6.0059,-3.8961,10.5262,27.5372,-17.7419,-2.0538,-11.2202,4.6989,7.5829,-2.164,-3.4329,20.5035,-9.8864,-1.4375,-6.5673,2.5833,0.8941,0.7511,-11.4361,11.5725,-0.443,13.973,-7.1875,5.9602,-4.4304,-13.6611,0.9654,-13.9549,-0.4355,-2.8571,-0.5264,7.7097,-2.0002,3.3296,11.8097,-1.1424,5.7719,1.2227,14.4635,9.9046,0.1614,-8.5547,-1.7391,8.6612,0.7938,-13.3425,8.8325,4.8666,1.5952,40.4256,-11.584,48.5291,4.2716,14.1956,28.081,8.0788,29.7451,-14.9398,-6.1087,-25.963,-21.7562,-25.0491,-6.6054,-3.1352,-13.7227,2.2221,0.1391,13.2286,18.2498,-18.1401,-15.6812,0.9078,-2.1572,-5.0601,3.7501,23.4696,28.2809,7.7689,1.8255,5.4546,16.0049,6.6138,1.8868,1.5046,-6.9975,15.5884,1.1903,4.0246,3.2226,-7.1038,13.3127,2.377,12.4777,-13.6924,21.0429,0.9399,-7.3169,2.8674,0.0002,4.7052,5.091,1.6634,-8.3051,5.7348,8.5604,-4.4609,11.6183,-7.3076,-5.1094,-12.1796,8.3334,-6.5935,-8.5634,-3.4667,15.3846,14.841,16.9423,11.009,-2.6786,3.2258,3.8278,-1.8779,0.9478,7.3557,1.4018,15.0537,2.1977,-9.0001,-8.2569,4.3062,-9.1303,-4.959,-0.4115,6.579,4.5872,-1.6702,-13.5714,-3.114,4.7101,8.2353,-8.6021,6.4885,27.1844,19.7673,-14.0001,-22.1789,-13.1757,-14.3705,-7.3394,-2.2421,0.9051,22.7779,-6.4935,65.9486,-38.9473,7.0422,-38.261,-19.0141,2.1582,0.7247,-10.3001,-0.9903,-9.8212,-3.8627,20.7256,4.8913
2362 藍天,-1.5332,0.5136,1.2134,6.2617,1.5154,-1.4159,-2.7539,-8.9341,-0.7774,1.9018,4.8171,-14.245,-2.6354,20.1665,-4.153,-7.155,-9.5356,-17.7502,-0.5133,0.8282,0.625,-3.0302,-2.559,-5.5765,0.1862,-4.9559,1.4361,4.8965,-0.4634,1.8019,-7.8074,5.2448,-8.48,-2.9503,1.7377,1.2801,8.5069,-1.3698,4.6593,13.8911,-8.7656,-1.2368,23.0434,10.4441,1.5854,14.5252,-4.7926,-0.2617,-12.0831,10.2791,-0.3795,-4.4481,0.2338,-6.1405,-5.8822,-8.2388,5.6002,4.3841,6.3264,-15.3196,2.5047,10.4253,-16.3702,2.7498,-1.9365,-13.2825,9.8994,16.6341,-20.1562,-5.1852,1.9638,-1.9259,-5.0632,6.9172,-1.3354,1.7546,9.3549,-10.1448,2.3741,11.96,3.4365,11.9231,13.7855,10.5201,-7.0788,10.5594,-14.3618,19.8273,-10.4348,21.2121,20.0947,8.2191,13.1783,1.3753,17.281,-9.3945,-22.7418,-24.0196,-6.8494,13.6875,-18.6879,-8.3788,-0.1818,17.2709,20.1024,-13.8918,2.8344,-23.3042,9.9426,-9.8275,8.4114,52.4382,10.4387,-0.8997,-11.0668,29.0875,-1.5254,-7.3783,25.8896,25.2476,13.1652,27.0463,-8.4691,16.7299,11.9151,8.7966,11.1113,5.081,-0.3232,-7.6616,3.5016,6.1202,-18.6666,7.143,-6.6667,3.758,9.7224,0.0002,-8.4742,3.5089,7.5472,-2.7523,6.8627,-11.6883,-9.7656,5.3498,2.5318,-8.4942,-7.1428,-4.9999,-5.3255,-12.8865,25.9741,5.4797,6.182,4.1667,1.9303,-1.894,-2.5378,4.8873,9.9173,28.0423,5.0001,-8.6294,-2.4753,12.2222,-15.4929,-8.9746,11.9619,-18.9923,-7.1941,9.6956,-10.577,-20.0002,-1.515,5.3191,-13.3641,23.2955,57.143,9.8042,13.3335,-19.9999,7.1429,-24.4605,2.206,-21.3873,-3.352,69.6682,36.1289,82.3531,-13.618,-30.2127,-11.8751,-35.4839,-17.8809,-24.4999,-8.3333,-3.2257,-4.6155,-1.5151,0.3802,27.6694
2363 矽統,-2.6602,-2.7398,-2.232,8.0387,-4.0122,-3.9999,-0.1479,-5.5864,6.5477,-3.0305,3.4327,7.2001,15.7407,3.4483,-10.7692,-7.8741,-17.5323,-7.6739,-1.7667,-2.7491,-1.5785,-1.7718,11.0703,-3.3293,-7.0718,-7.4642,-9.4443,10.204,7.6923,6.1844,-6.441,0.6592,1.6761,0.5617,6.8428,-8.7623,-4.398,2.4677,-5.4767,-5.1922,-7.5555,15.0306,-3.6453,-2.8709,-0.0001,-8.3335,0,6.5422,1.4219,12.4732,-8.932,3.8306,7.4755,-13.7385,-8.5471,-13.0111,4.6693,4.898,21.8908,-14.8305,-7.0866,2.4194,-14.4828,-8.8026,10.2739,-9.5977,-2.7111,-9.7827,-12.5891,5.2501,12.0447,-7.0313,-4.4775,11.6666,-13.0436,6.6297,4.1344,-6.068,-5.2875,8.75,-11.8944,-8.4676,4.2017,-18.3978,15.7896,21.4611,-10.2459,26.4251,-37.1335,64.8763,29.3054,20.4012,19.8399,5.7203,27.9134,-12.1427,-22.0779,-31.1623,2.891,-11.3053,-21.2845,6.3415,6.771,-10.6976,16.216,-18.1415,-12.7416,-17.516,-2.4846,-0.6172,-17.3467,6.5217,-3.3021,10.4048,-6.4865,1.3697,-3.4391,-5.0252,9.3406,20.5298,2.3727,3.4865,-0.6624,-7.362,-13.9842,-3.5622,5.6451,10.0594,-6.1111,-19.2826,-8.9797,26.2888,-15.4684,10.072,1.7075,27.7257,-6.1405,28.0902,8.0971,-14.5331,25.6522,-9.4489,10.4349,0,-7.6304,-22.1875,6.558,4.1096,-18.8888,-8.1634,-12.1075,-17.4074,4.6511,13.1578,-4.6023,-11.808,-2.8673,-2.4476,17.2134,5.1725,8.4112,11.4582,-15.0443,-18.4115,-10.9325,17.3584,10.4166,2.1275,-20.6082,-2.6315,-7.5987,10.4026,-28.0192,-15.1639,-8.7851,4.9019,-2.8572,-8.6957,40.9314,13.0195,40.4671,-26.7806,43.5318,-36.4066,-17.0589,-4.673,-15.0796,24.7527,4.1236,32.5137,-5.4265,-2.2727,-46.1226,-28.9855,21.2427,-6.0073,-0.3522,8.8121,-3.6903,6.2748,-6.2501,28.302
2364 倫飛,-6.9367,-8.2841,-6.1111,4.6513,14.6668,-12.7907,-1.7143,-2.7779,10.4295,-32.6446,-24.3752,-26.6056,125.9067,18.4049,-7.3866,-13.7254,-26.354,-7.6668,-6.2497,3.5598,-7.2073,-3.4782,-15.0246,8.8472,-6.75,-9.0909,7.317,-7.8652,-7.0981,-20.2994,-8.5237,2.6561,39.1306,42.4149,5.9016,0.6601,-7.3393,9.0001,-1.316,0.6622,-12.4638,14.618,-0.66,-1.6234,2.3256,-6.8112,15.3571,13.8211,-22.8574,-5.9524,22.9267,-14.2259,-14.0288,-9.4461,-9.7057,-12.1448,11.8496,-1.4244,-0.5666,-11.75,23.0768,-3.8463,-13.9948,-5.7554,-9.9353,-3.1382,14.0811,-7.5055,-10.6508,-2.8736,-10.9214,-2.3333,17.1875,18.5188,-10.1869,5.7143,-9.3626,-3.4612,0.5804,4.8683,-1.3999,-6.5421,3.2818,-0.7662,7.4077,66.4385,-12.8358,14.7262,-14.1177,4.6152,11.3015,51.2955,10.9195,-8.4211,7.9548,-20.7206,-17.7778,-24.581,-8.6735,-8.1967,-7.5756,-6.6667,3.1251,9.3391,16.1377,-12.0931,1.1764,-20.412,-13.8708,1.6393,-25.8809,3.5218,7.4324,3.6415,-5.0533,44.8939,15.3333,-23.7289,45.6788,39.6553,10.266,-5.3959,-1.7667,-16.2722,-12.4352,5.7536,3.1073,-3.8042,-8.6849,-11.4286,14.3215,19.5196,-20.5252,-5.8426,-16.196,-12.2314,20.5179,-10.3572,-9.0911,-10.7247,21.0529,-19.149,-15.0531,-16.1617,63.3665,-14.8875,-12.7451,-2.8572,-33.3334,-16.0001,7.1427,-16.1677,25.5641,6.4001,-4.5803,-0.7576,3.1251,-5.8823,-2.8573,-0.0001,33.3332,-6.2499,-3.4485,-6.4516,-10.145,15.966,-23.718,-7.143,7.6922,-15.6757,26.7121,-9.8764,-15.1832,-19.4093,31.6665,45.1611,-10.7914,5.3032,50.685,34.3556,-13.7567,-26.6021,6.6253,-18.1356,-20.8055,-19.8925,-28.4616,63.5222,33.6131,44.4177,-28.3479,-5.7376,-14.0845,-31.0678,-19.8444,-11.6563,-16.6668,-8.5715,-14.2858,15.0234,2.4038,20.93
2365 昆盈,-4.3525,1.5087,3.3407,-2.5134,2.0673,2.1111,-9.9097,1.4213,4.2329,4.4197,3.6653,-6.9058,10.687,-1.0787,-7.7614,-3.8278,-2.3363,-6.5502,0.8812,1.3391,-5.4852,-2.4689,15.1658,0.9568,-11.4406,-5.2211,-2.2461,-7.2163,7.38,4.2307,-13.9072,-2.8939,27.9835,-0.4098,4.2737,-7.5098,0,20.4763,0.9616,-4.6243,-7.1127,28.6328,0.7589,3.3633,-0.3353,-5.0901,9.5238,2.4999,-20.0001,1.9419,5.4248,-5.1454,0.9804,-6.4221,-8.4035,-9.8486,13.3046,5.9091,-1.3455,-16.4793,9.8764,-6.8967,-13.2888,-10.6341,-13.1979,-16.7019,8.986,-1.139,-7.9666,-8.7955,5.4434,-6.5913,-7.3295,8.1132,-10.1695,2.8006,-0.9463,-4.9474,5.2051,10.0693,-0.6897,-13.433,9.477,0.0001,-8.1082,11.1854,-5.5205,37.7156,-2.2263,3.2566,29.8508,5.2356,33.5663,-13.07,5.9151,-30.2325,-20.3703,-14.5572,3.6066,-3.8037,-10.1811,-1.7778,16.8832,-10.2564,11.1398,-25.6261,-15.409,-9.1938,-5.7752,8.9405,-1.8085,37.6449,10.8021,2.8603,12.9193,2.2872,7.8082,-1.8817,7.8258,9.1772,14.9091,10.664,-5.2017,5.1876,-5.4148,-4.6775,11.7116,4.3234,5.5557,-8.8608,7.1705,13.1579,-6.1727,8.9687,-16.1654,24.6235,0.8622,12.6214,-15.2265,-2.8,3.7345,2.5533,13.5262,-6.3349,-0.8965,-8.2306,-9.8855,-7.3101,-0.5813,-8.0215,-0.0001,-4.5918,2.8871,5.8334,4.9563,-6.284,-4.1884,4.3716,1.3965,11.5608,-1.1428,22.8069,3.2609,-4.4986,-4.3045,-1.3073,-13.8029,-8.2689,2.3811,-9.3524,19.0487,23.3129,-20.6813,-11.0389,-6.0975,1.2346,10.4547,34.1463,71.7279,15.0601,9.2106,-24.3779,-5.6337,-10.099,-6.5574,-7.2948,-12.2666,16.4595,-5.572,48.2606,-30.5136,10.7022,-25.0626,-11.9206,11.8519,-34.6773,7.8263,1.7701,17.4635,53.6741,-11.3314,62.6728
2367 燿華,-1.6834,-0.9805,2.719,1.7427,3.98,-10.2679,-5.0849,0.0001,0.8548,-10,11.5881,0.431,14.2857,-1.4564,-10.8226,-0.6872,-3.9062,-7.9135,-3.8061,-1.3651,5.7762,4.9244,6.024,0,-7.0898,3.876,5.7376,2.1201,1.6462,3.4041,-4.4714,-1.2048,4.6219,-0.4185,3.463,-8.6956,-4.8872,11.7647,5.7776,-3.8458,6.3636,14.3452,0.733,-1.7488,-1.917,-2.3645,7.5211,10.1516,-18.3808,5.9536,5.5379,-8.3617,-3.0972,-3.0044,-16.7855,-1.06,9.2662,7.0247,-2.0243,-12.7208,7.1969,-6.714,-14.851,-0.5915,-10.5821,-1.8181,18.5848,-10.8465,1.6128,-5.102,23.2702,10.4167,-8.2803,22.179,7.0832,18.2268,-1.4562,-14.8761,-5.8365,21.2264,-6.608,-18.0507,0.7273,26.1473,-4.8032,14.4998,-6.5423,19.5534,-22.8447,-1.2766,23.6844,29.0759,14.1085,-15.7964,7.283,-26.3918,-21.4574,-31.5789,-3.9894,-12.2082,-6.8184,-5.3762,3.1425,1.6916,15.6522,-22.6892,-9.8486,-8.3333,4.651,3.3032,5.1099,8.7776,10.1903,16.7341,31.9151,8.0459,-1.6949,-1.3927,18.0921,13.0112,-1.1029,13.3332,7.0234,-4.5644,-9.7378,-7.9311,3.5713,6.8704,-6.7615,-3.4364,30.4931,2.2935,0.0001,16.3284,-8.5,-3.4333,14.2156,-1.923,-9.1702,-3.3755,13.3973,-11.4407,-9.9235,-8.3916,-23.1183,10.0592,13.423,-4.4871,-19.9999,-9.7221,10.2041,-11.3125,3.2709,19.5531,-1.105,48.9711,8.4821,12.5627,-2.451,-2.8572,32.0757,6.7114,-10.241,-16.1616,-7.0422,3.398,-7.6234,-2.1928,12.3153,-20.0789,-4.8689,-13.3117,-11.9998,-10.7144,27.273,23.1999,1.626,6.4933,24.1934,6.2858,0.101,-9.0907,5.0252,-16.7365,-13.7185,-14.506,-18.9998,21.2121,12.2448,39.3367,-7.4562,-21.3792,-37.4999,-25.1613,0.1406,-12.7453,-5.5556,2.8568,-7.6924,2.941,8.0684,4.8718
2368 金像電,-11.2499,5.2632,0.4404,32.904,9.3472,-3.5802,-9.4973,-0.886,0.5567,-9.8391,5.5085,-16.8283,15.4628,13.9049,-21.5454,-13.0435,-23.7951,7.7922,-14.9171,-15.4205,-3.6037,24.0225,13.2911,25.8963,6.3562,0,15.1221,7.3297,9.7702,5.1995,2.9888,-2.3112,12.7576,1.2501,2.8573,-8.6161,10.216,13.0085,-11.2555,-4.4138,-4.6054,26.4559,1.0084,1.5358,0.0001,-3.6187,9.5496,0.3617,-19.8552,8.1506,3.2362,-3.4374,-5.3253,2.7356,-18.8657,-5.6975,12.4185,10.5491,0.2899,-18.2465,1.3206,-14.0719,-20.2431,2.9168,-2.834,-2.3714,1.1998,-8.4249,1.1112,-0.3692,22.0719,0.4524,-3.0703,8.5713,-9.4828,12.6214,-4.1861,-9.2827,-2.4691,8.9685,-7.8513,-12.319,14.0496,5.9663,-7.0867,-1.5505,15.1785,16.0623,-15.7205,9.5694,10.3486,29.3717,18.2553,-10.9353,0.5789,-27.2631,-2.7636,-40.0614,5.7721,-2.0468,-25.3275,5.0459,6.8628,-9.5343,21.8918,-35.9863,-3.827,-1.3136,5.3633,-3.3444,9.3236,12.9112,0.1962,-0.7797,-8.0643,-3.9587,4.3088,20.5628,-0.431,11.8071,2.7228,0.7483,-2.1952,8.4657,-8.6363,1.8518,15.2,-0.5305,6.4972,-1.1174,8.1572,10.7025,-12.059,1.7964,12.7272,1.9108,10.954,13.6546,-10.1081,-0.7168,6.0836,-6.7376,2.9198,-5.8418,4.6765,-4.1381,6.2273,-3.8731,10.0775,-9.155,-0.4797,-7.9114,8.5911,-1.6892,6.8594,17.3729,-0.8401,5.3097,-13.077,-6.1373,44.271,11.628,42.1489,-9.7016,-16.7704,34.1666,-11.1113,-6.8966,5.8394,-31.5,1.9415,-2.3697,-18.5328,-16.9871,4.3478,21.5445,-11.1914,11.2449,5.5084,52.2581,-15.7609,-33.0909,11.7886,-24.5515,-9.7674,-13.6546,-12.9371,18.1817,-7.9849,31.5002,-20.9486,15.5252,-25.256,-33.7105,-0.0001,-5.7569,3.2661,5.8253,-14.8759,-0.0001,-3.2,22.549
2369 菱生,-8.2305,7.5223,12.4375,17.9502,-2.1182,6.7858,-8.7947,4.0676,6.6265,-8.186,0.1107,-8.3247,8.96,6.9823,-10.2782,-5.1402,-16.4063,-8.5715,-3.1142,-4.3045,-3.2052,6.8495,6.9599,-11.6505,-2.5237,-3.9393,-8.3333,-4.1673,13.3721,-13.5678,-4.7849,1.4561,19.4202,6.8113,5.9018,0.0002,-3.1744,4.651,-4.4444,3.0527,-3.9038,0.3011,-0.3004,-2.6314,11.7647,0.9902,1.6779,5.6738,-18.0234,0.5848,9.9678,-0.4221,-4.9708,0.0001,-9.2838,-3.3335,27.4512,16.7938,-6.0933,-10.2894,-0.6391,-3.9877,-17.0484,-5.2374,-4.7414,-3.1315,5.2748,-7.5203,-3.3398,3.0367,14.3519,4.6005,-4.3984,7.4627,3.8759,2.2845,16.3692,-15.5779,15.6978,8.5172,7.8233,-6.9622,17.4722,16.9567,-6.1227,21.1507,-17.3228,32.9841,-14.7323,21.3435,17.5797,9.6366,25.6139,-4.2018,-1.6527,-20.8116,-3.4134,-27.4311,17.2042,-2.8824,-15.1638,-7.5758,0.7634,8.7139,5.7018,-24.9999,2.7029,-15.9089,2.5525,10.476,-4.5455,-8.4161,30.7418,13.6545,-13.8409,5.4743,21.7777,-5.0633,13.9423,9.4736,3.7118,-0.7585,-1.2835,-0.0001,-15,-10.569,-1.6001,20.7727,-6.3348,-16.2878,34.9695,22.25,-17.5258,-0.7166,-31.197,22.5662,2.4593,9.91,-10.4838,-4.6154,15.0442,-18.4118,5.7253,-4.7273,-9.5393,-8.4337,4.4025,-5.9171,-4.2658,-11.7072,-4.6512,-7.3275,-4.9178,42.6899,12.4999,-5.59,3.205,4.3478,0.3355,2.4054,28.1938,49.3417,-7.8788,-7.3034,-5.3192,32.3943,-11.2501,-1.8404,4.4871,-17.8948,-15.9291,0.4152,-13.2354,-16.0493,-9.9999,33.3334,-8.1633,7.2993,53.9331,20.2704,-4.5162,-20.5129,5.9784,-24.5901,-4.6874,-18.3136,-9.4736,7.9548,6.0242,50.9091,-17.9103,-6.9445,-6.4936,-37.9032,-8.8234,-15.2649,2.9446,4.8929,-3.2544,4.9688,0.9405,19.9247
2371 大同,7.0878,40.8348,2.9909,4.6967,0.5906,0.7934,-6.1453,1.8977,1.5413,-6.9892,3.3333,-8.938,17.1939,-1.9382,-11.3401,-15.6522,-3.2258,-12.408,-3.44,-2.5435,-2.1492,-1.229,9.9509,-5.5687,-2.9279,-8.2644,-2.2222,4.1009,-0.6269,0.2093,0.6321,-4.8145,15.2601,4.5949,2.4786,-0.9817,5.2972,6.7588,-4.4796,0.5297,-5.625,7.3822,-1.0622,-5.7572,-0.1249,9.1403,2.3743,6.7065,-11.2433,23.5297,3.204,-6.7611,-2.9008,-18.1251,-6.8683,-13.4071,17.9551,10.5125,-8.4239,-21.972,-6.5789,-8.8,-15.5406,11.2786,-1.4814,-5.9232,-10.4317,-2.3156,1.3197,-13.4518,8.2416,0.8309,17.2078,14.9255,-8.2192,2.4561,-3.5532,-8.6554,-14.8684,13.4327,-4.1489,-10.8418,3.8413,3.2832,-0.2729,4.5648,-16.3484,3.4566,-9.9998,1.6948,32.4852,26.0377,-3.9853,-9.3597,8.5563,-3.4421,-15.1824,-40.9483,5.9363,-10.6124,-27.9411,-7.6088,-6.1223,5.3762,17.7217,0.3176,-3.3741,-7.6489,2.6162,10.9679,-11.9317,19.7279,4.2555,-0.3531,1.0714,-5.7239,5.3192,-3.425,-3.3113,30.1725,-1.2767,12.9807,-8.7719,-15.2417,-4.61,42.7125,37.7965,-10.8209,-4.6264,-8.3697,7.8544,9.4996,-14.9564,-4.284,-10.5609,7.5378,-0.9949,7.4866,-16.5178,-3.4482,-2.9289,-4.7809,4.5833,7.143,-14.5039,-7.4208,5.5969,1.5151,1.1497,0.3847,-1.1406,-2.5927,39.1754,12.7908,1.1766,-2.2988,3.5715,-12.5,15.6627,29.6873,5.7851,9.0088,-11.9048,-5.9702,-16.25,16.7883,-15.9509,3.1645,27.419,-23.457,-10,-8.1632,-10.9091,-25.4238,13.4615,8.7867,-3.239,17.0618,54.0145,24.5457,0.0001,-26.1745,9.9535,-23.9583,-4.0001,-19.6789,-11.702,3.6765,-9.0301,17.7165,-3.0534,-2.9629,-16.1493,-16.1457,-9.006,-4.5269,-16.2072,4.3163,-19.4203,-19.3924,3.8835,-3.5129
2373 震旦行,-0.1956,-1.7307,1.961,-2.4856,-0.6823,0.1793,-1.2391,3.8603,2.2558,4.1093,0.9881,-1.1718,2.4,-3.8462,1.5624,-0.5825,1.6467,-2.5454,2.4209,-0.1859,0.3731,-1.6513,4.8078,3.1745,-1.3699,-1.1606,-2.4529,-4.3321,1.4651,3.9496,0.3602,-7.0354,-1.8093,-5,5.2631,-0.977,0.1632,8.6881,-4.0817,3.8869,10.3703,0.1854,0.9364,14.5922,7.4971,0.58,-3.1461,1.3668,-2.8761,1.1185,1.2457,-0.3386,-4.7839,1.5382,-6.6092,-0.9488,15.5704,-2.2509,1.5234,-6.1288,11.1237,-17.6636,-6.1405,5.208,2.3679,3.3899,6.5195,-0.1001,0.1002,-9.3635,3.9698,-3.4672,2.43,-5.3097,5.8053,29.4605,0.4662,-10.0627,18.9526,9.1156,1.8004,-2.4324,3.6415,4.3859,0.4403,7.4132,2.7555,9.2475,-4.0917,0.1639,14.2322,11.7154,6.459,0.6726,-5.1064,-3.6886,4.2734,-10.5161,0.577,-0.1039,-0.7018,-7.1662,2.6756,2.2223,16.9999,-9.091,-8.0265,-16.0112,11.2501,-7.5144,66.346,9.8273,8.9709,-1.8135,1.579,-5,3.0928,1.3056,-1.0336,5.7377,8.6054,-2.6011,0.5813,-2.2728,1.3227,-1.0472,6.407,-1.3736,-3.9578,-2.3195,16.1677,-3.1884,-1.9887,-3.2967,4.8991,-6.7203,2.9631,9.2487,1.7648,-6.5934,2.2472,-2.7322,2.8092,-6.8063,-0.5208,-7.2465,17.6139,8.6419,-17.7666,1.0255,-5.3399,-7.6232,-0.8889,10.8372,-6.0183,2.3698,7.6531,-10.0918,-2.5245,40.9639,16.4913,22.8447,-14.3912,-1.8117,-16.8676,18.5714,-12.5,-1.6763,5.2942,-14.9998,19.0477,3.7037,-26.0274,-21.7858,0.3585,27.9816,-8.7866,7.1749,25.9886,14.9351,-3.7498,-31.3305,-14.3382,-38.4616,-23.7932,-8.0693,6.1165,37.9748,-12.222,15.8797,-8.9843,19.0695,-29.5082,-27.3809,-11.2049,-3.272,-20.4877,2.5002,-5.2632,10.949,5.3845,2.3622
2374 佳能,-4.9081,1.7165,-0.2849,5.0897,4.3751,-14.2092,-7.2139,-2.6633,2.7364,-14.1026,-0.637,0.0275,11.1112,12.5001,2.4909,-15.3613,-10.992,6.5712,-0.5683,-7.3683,1.3333,12.6125,6.051,3.9734,-12.4638,-10.3896,-4.8623,2.9814,3.8095,10.2362,-2.0565,2.3684,-1.5544,2.6595,-3.0928,-12.4152,0,0.6817,-8.7135,-2.3476,2.0872,-2.4075,0.0002,-2.8777,0.1803,2.022,-0.5485,3.9925,-0.9414,-8.4482,9.7435,3.6762,-3.7169,5.214,-8.9829,-4.2208,9.22,8.4614,-1.1407,-6.0715,2.1897,-8.9702,-16.6249,0.2525,5.1794,-12.645,-0.8056,-3.2294,-10.0201,-0.3993,0.2001,-1.768,-1.7375,4.6465,0.6095,10.0218,-1.1352,-10.6088,2.6515,0.5714,-7.0797,-10.0319,4.1458,-1.1474,-3.1745,8.6207,10.057,38.9448,12.6051,7.6925,24.3903,3.2944,21.6982,2.9125,5.9127,-21.7303,1.4284,-25.3048,10.6939,1.4879,-18.2483,-8.5651,8.5749,-9.5082,2.1205,-16.5736,-3.2433,-15.1378,-2.5336,3.7096,12.6172,8.0702,22.5808,18.6227,7.104,23.6487,14.2855,5.2847,0,5.8064,7.6388,2.8573,6.1767,-6.4376,-13.7037,-15.6249,2.4001,3.8205,-7.9512,1.2384,16.3966,15.3849,-3.6073,40.9603,-5.2425,12.1814,22.1454,-0.345,-8.2278,-9.1955,9.4339,-2.4539,1.2421,-2.4243,-7.8212,-4.7874,7.8889,-16.2994,-16.8499,-3.1915,-4.0815,-8.9784,0.6232,0.627,7.4071,-6.6038,-5.9171,-5.8498,0.2795,18.421,3.2681,15.9092,11.8645,-17.193,-4.6823,8.7272,2.2305,-4.2704,11.067,-9.6428,6.4639,5.9637,-10.0333,-10.21,-9.756,9.1716,14.9657,16.6664,30.5701,9.0396,-11.0553,-13.853,22.5909,-15.3526,0.4167,-16.955,10.3056,21.8606,34.3751,46.1186,-18.2835,-6.2936,-16.3743,-19.3396,6.0001,-20.1038,-5.2083,3.9712,8.6276,4.5081,-6.5134,42.623
